_id_x,lat,long,id_x,nombre,codigo,redesid,_id_y,city,date,estacionesid,fecha,hora,id_y,parametro,state,validoorig,valororig
5cccf5bee2705c1932820602,19.404,-99.202722222222,263,Miguel Hidalgo,MGH,119,5cccec1de2705c19325b99b7,Valle de México,2018-01-30T00:00:00.000Z,263,2018-01-30,0,263SO218013000,SO2,Ciudad de México,1,0
5cccf5bee2705c1932820603,19.246666666667,-99.010833333333,265,Tlahuac,TAH,119,5cccec21e2705c19325c11ea,Valle de México,2018-01-30T00:00:00.000Z,265,2018-01-30,0,265SO218013000,SO2,Ciudad de México,1,0.001
5cccf5bee2705c1932820604,19.529166666667,-99.204722222222,266,Tlalnepantla,TLA,119,5cccec27e2705c19325cc264,Valle de México,2018-01-30T00:00:00.000Z,266,2018-01-30,0,266SO218013000,SO2,Ciudad de México,1,0.003
5cccf5bee2705c1932820605,19.602777777778,-99.177222222222,267,Tultitlán,TLI,119,5cccec2de2705c19325d51a2,Valle de México,2018-01-30T00:00:00.000Z,267,2018-01-30,0,267SO218013000,SO2,Ciudad de México,1,0.002
5cccf5bee2705c1932820606,19.360833333333,-99.073888888889,268,UAM Iztapalapa,UIZ,119,5cccec33e2705c19325deda8,Valle de México,2018-01-30T00:00:00.000Z,268,2018-01-30,0,268SO218013000,SO2,Ciudad de México,1,0
5cccf5bee2705c1932820607,19.304444444444,-99.103888888889,269,UAM Xochimilco,UAX,119,5cccec38e2705c19325e90f4,Valle de México,2018-01-30T00:00:00.000Z,269,2018-01-30,0,269SO218013000,SO2,Ciudad de México,1,0.002
5cccf5bee2705c1932820608,19.6575,-99.096666666667,270,Villa de las Flores,VIF,119,5cccec3de2705c19325f38c7,Valle de México,2018-01-30T00:00:00.000Z,270,2018-01-30,0,270SO218013000,SO2,Ciudad de México,1,0
5cccf5bee2705c1932820609,19.526111111111,-99.0825,271,Xalostoc,XAL,119,5cccec43e2705c19325ff69b,Valle de México,2018-01-30T00:00:00.000Z,271,2018-01-30,0,271SO218013000,SO2,Ciudad de México,1,0.001
5cccf5bee2705c193282060a,20.508972222222,-97.446986111111,291,Universidad Veracruzana,PR-03,120,5cccec4ae2705c193260cedf,Poza Rica,2018-01-30T00:00:00.000Z,291,2018-01-30,0,291SO218013000,SO2,Veracruz,1,0.0046
5cccf5bee2705c193282060b,20.08525,-98.366638888889,292,Tulancingo,TLN,121,5cccec52e2705c193261ac21,Tulancingo,2018-01-30T00:00:00.000Z,292,2018-01-30,0,292SO218013000,SO2,Hidalgo,1,0.00276778055555556
5cccf5bee2705c193282060e,17.094666666667,-96.752166666667,297,Casa Hogar,CHO,73,5cccec56e2705c1932623fc9,Oaxaca,2018-01-30T00:00:00.000Z,297,2018-01-30,0,297SO218013000,SO2,Oaxaca,1,0.0005
5cccf5bee2705c193282060f,19.199166666667,-99.010833333333,299,Milpa Alta,MPA,119,5cccec59e2705c1932629b0a,Valle de México,2018-01-30T00:00:00.000Z,299,2018-01-30,0,299SO218013000,SO2,Ciudad de México,1,0.001
5cccf5bee2705c1932820611,19.292222222222,-99.380555555556,301,Instituto Nacional de Investigaciones Nucleares,INN,119,5cccec63e2705c193263b999,Valle de México,2018-01-30T00:00:00.000Z,301,2018-01-30,0,301SO218013000,SO2,Ciudad de México,1,0.001
5cccf5bee2705c1932820613,21.903,-102.28461111111,303,Instituto Educativo,IED,30,5cccec6ae2705c1932647ac5,Aguascalientes,2018-01-30T00:00:00.000Z,303,2018-01-30,0,303SO218013000,SO2,Aguascalientes,1,8.6428e-05
5cccf5bee2705c1932820614,25.421472222222,-100.99686111111,304,Finanzas,FIN,123,5cccec70e2705c19326536e4,Saltillo,2018-01-30T00:00:00.000Z,304,2018-01-30,0,304SO218013000,SO2,Coahuila,1,0.00020211
5cccf5bee2705c1932820616,28.707666666667,-100.5265,306,Centro de Rehabilitación DIF,DIF,125,5cccec7ce2705c193266cdfd,Piedras Negras,2018-01-30T00:00:00.000Z,306,2018-01-30,0,306SO218013000,SO2,Coahuila,1,0.0016091999999999999
5cccf5bee2705c1932820632,25.73,-100.30972222222,425,Universidad,N2,72,5ccceca6e2705c19326bf5e9,Monterrey,2018-01-30T00:00:00.000Z,425,2018-01-30,0,425SO218013000,SO2,Nuevo León,1,0.0035
