_id_x,lat,long,id_x,nombre,codigo,redesid,_id_y,date,validoorig,city,state,valororig,parametro,estacionesid,id_y,hora,fecha
5cccf5bee2705c19328205fe,19.393888888889,-99.028333333333,258,Nezahualcóyotl,NEZ,119,5cccec03e2705c193258c161,2018-01-30T00:00:00.000Z,1,Valle de México,Ciudad de México,5,PM2.5,258,258PM2.518013000,0,2018-01-30
5cccf5bee2705c1932820600,19.533055555556,-99.030555555556,260,San Agustín,SAG,119,5cccec0fe2705c19325a06ce,2018-01-30T00:00:00.000Z,1,Valle de México,Ciudad de México,3,PM2.5,260,260PM2.518013000,0,2018-01-30
5cccf5bee2705c1932820601,19.3575,-99.263055555556,262,Santa Fe,SFE,119,5cccec15e2705c19325ab7cc,2018-01-30T00:00:00.000Z,1,Valle de México,Ciudad de México,5,PM2.5,262,262PM2.518013000,0,2018-01-30
5cccf5bee2705c1932820602,19.404,-99.202722222222,263,Miguel Hidalgo,MGH,119,5cccec1ce2705c19325b7c13,2018-01-30T00:00:00.000Z,1,Valle de México,Ciudad de México,2,PM2.5,263,263PM2.518013000,0,2018-01-30
5cccf5bee2705c1932820604,19.529166666667,-99.204722222222,266,Tlalnepantla,TLA,119,5cccec26e2705c19325ca75f,2018-01-30T00:00:00.000Z,1,Valle de México,Ciudad de México,6,PM2.5,266,266PM2.518013000,0,2018-01-30
5cccf5bee2705c1932820607,19.304444444444,-99.103888888889,269,UAM Xochimilco,UAX,119,5cccec38e2705c19325e7598,2018-01-30T00:00:00.000Z,1,Valle de México,Ciudad de México,3,PM2.5,269,269PM2.518013000,0,2018-01-30
5cccf5bee2705c1932820609,19.526111111111,-99.0825,271,Xalostoc,XAL,119,5cccec42e2705c19325fdcb9,2018-01-30T00:00:00.000Z,1,Valle de México,Ciudad de México,4,PM2.5,271,271PM2.518013000,0,2018-01-30
5cccf5bee2705c193282060a,20.508972222222,-97.446986111111,291,Universidad Veracruzana,PR-03,120,5cccec49e2705c193260adcb,2018-01-30T00:00:00.000Z,1,Poza Rica,Veracruz,6,PM2.5,291,291PM2.518013000,0,2018-01-30
5cccf5bee2705c193282060b,20.08525,-98.366638888889,292,Tulancingo,TLN,121,5cccec51e2705c19326195a3,2018-01-30T00:00:00.000Z,1,Tulancingo,Hidalgo,6.02216666666667,PM2.5,292,292PM2.518013000,0,2018-01-30
5cccf5bee2705c193282060e,17.094666666667,-96.752166666667,297,Casa Hogar,CHO,73,5cccec56e2705c193262309b,2018-01-30T00:00:00.000Z,1,Oaxaca,Oaxaca,5,PM2.5,297,297PM2.518013000,0,2018-01-30
