_id_x,lat,long,id_x,nombre,codigo,redesid,_id_y,date,validoorig,city,state,valororig,parametro,estacionesid,id_y,hora,fecha
5cccf5bee2705c1932820582,21.883780555556,-102.295825,33,Centro,CEN,30,5cccec83e2705c1932679d40,2018-01-30T00:00:00.000Z,1,Aguascalientes,Aguascalientes,0.37554,CO,33,33CO18013000,0,2018-01-30
5cccf5bee2705c193282058a,32.4975,-116.97694444444,47,La Mesa,SPABC03,35,5cccecb2e2705c19326d7641,2018-01-30T00:00:00.000Z,1,Tijuana,Baja California,5.65276612,CO,47,47CO18013000,0,2018-01-30
5cccf5bee2705c193282058c,28.632775,-106.03886694444,53,SUR,SUR,38,5cccecb7e2705c19326df504,2018-01-30T00:00:00.000Z,1,Chihuahua,Chihuahua -Estatal,1.56,CO,53,53CO18013000,0,2018-01-30
5cccf5bee2705c193282058e,28.716083333333,-106.13330555556,55,CIMAV,CIMAV,39,5cccecc1e2705c19326f2881,2018-01-30T00:00:00.000Z,1,Chihuahua,Chihuahua - Municipal,1e-08,CO,55,55CO18013000,0,2018-01-30
5cccf5bee2705c193282058f,25.522694444444,-103.39580555556,56,CONALEP,CNP,40,5cccecc3e2705c19326f696a,2018-01-30T00:00:00.000Z,1,Torreón,Coahuila,4.8661,CO,56,56CO18013000,0,2018-01-30
5cccf5bee2705c1932820593,24.026777777778,-104.692975,60,SRNyMA,SRN,42,5cccecd7e2705c1932717bce,2018-01-30T00:00:00.000Z,1,Durango,Durango,4.0136,CO,60,60CO18013000,0,2018-01-30
5cccf5bee2705c1932820594,25.551222222222,-103.50252777778,65,Campestre,CAM,43,5cccecdee2705c193272353a,2018-01-30T00:00:00.000Z,1,Gómez Palacio,Durango,104860,CO,65,65CO18013000,0,2018-01-30
5cccf5bee2705c1932820596,20.5175,-100.81555555556,68,Policía,POL,45,5cccece1e2705c1932727f1b,2018-01-30T00:00:00.000Z,1,Celaya,Guanajuato,2.07,CO,68,68CO18013000,0,2018-01-30
5cccf5bee2705c1932820598,20.5375,-100.83972222222,70,San Juanico,SJ,45,5cccece9e2705c1932737c59,2018-01-30T00:00:00.000Z,1,Celaya,Guanajuato,1.7,CO,70,70CO18013000,0,2018-01-30
5cccf5bee2705c193282059a,21.118055555556,-101.60216666667,72,Bomberos,BOM,46,5cccecf3e2705c1932748bb6,2018-01-30T00:00:00.000Z,1,Irapuato,Guanajuato,2.33,CO,72,72CO18013000,0,2018-01-30
5cccf5bee2705c193282059b,20.658055555556,-101.34888888889,73,Teódula,TEO,46,5cccecf8e2705c1932753573,2018-01-30T00:00:00.000Z,1,Irapuato,Guanajuato,1.7754,CO,73,73CO18013000,0,2018-01-30
5cccf5bee2705c193282059c,21.103055555556,-101.63611111111,74,CICEG - Bomberos,CC,47,5ccced00e2705c19327602f3,2018-01-30T00:00:00.000Z,1,León,Guanajuato,0.85,CO,74,74CO18013000,0,2018-01-30
5cccf5bee2705c193282059d,21.133333333333,-101.68,75,Facultad de Medicina,FM,47,5ccced06e2705c193276ae36,2018-01-30T00:00:00.000Z,1,León,Guanajuato,0.3147,CO,75,75CO18013000,0,2018-01-30
5cccf5bee2705c193282059e,21.108611111111,-101.68861111111,76,T21,T21,47,5ccced0de2705c193277611e,2018-01-30T00:00:00.000Z,1,León,Guanajuato,0.6959,CO,76,76CO18013000,0,2018-01-30
5cccf5bee2705c193282059f,20.578611111111,-101.19888888889,77,Cruz roja,CR,48,5ccced11e2705c193277d622,2018-01-30T00:00:00.000Z,1,Salamanca,Guanajuato,1.9861,CO,77,77CO18013000,0,2018-01-30
5cccf5bee2705c19328205a0,20.558055555556,-101.20472222222,78,DIF,DIF,48,5ccced18e2705c193278a48b,2018-01-30T00:00:00.000Z,1,Salamanca,Guanajuato,0.8864,CO,78,78CO18013000,0,2018-01-30
5cccf5bee2705c19328205a3,20.06,-99.221944444444,82,Centro de Salud,ATI,51,5ccced2ae2705c19327aa53b,2018-01-30T00:00:00.000Z,1,Atitalaquia,Hidalgo,0.612917916666666,CO,82,82CO18013000,0,2018-01-30
5cccf5bee2705c19328205a4,20.006666666667,-99.218888888889,83,Primaria Revolución,ATO,52,5ccced31e2705c19327b7558,2018-01-30T00:00:00.000Z,1,Atotonilco,Hidalgo,1.27217777777778,CO,83,83CO18013000,0,2018-01-30
5cccf5bee2705c19328205a5,19.771694444444,-98.577694444444,84,Estación de Bomberos de Cd. Sahagún,TEP,53,5ccced39e2705c19327c3d01,2018-01-30T00:00:00.000Z,1,Tepeapulco,Hidalgo,0.229,CO,84,84CO18013000,0,2018-01-30
5cccf5bee2705c19328205a6,20.375111111111,-99.654444444444,85,Hospital,HUI,54,5ccced41e2705c19327d00d0,2018-01-30T00:00:00.000Z,1,Huichapan,Hidalgo,0.4112125,CO,85,85CO18013000,0,2018-01-30
5cccf5bee2705c19328205a7,20.505555555556,-99.580277777778,87,Primaria Melchor Ocampo,TPJ,56,5ccced49e2705c19327dda51,2018-01-30T00:00:00.000Z,1,Tepeji,Hidalgo,0.226309444444444,CO,87,87CO18013000,0,2018-01-30
5cccf5bee2705c19328205a8,20.053777777778,-99.340055555556,90,Centro de Salud,CSA,58,5ccced51e2705c19327eb3d0,2018-01-30T00:00:00.000Z,1,Tula,Hidalgo,0.225976111111111,CO,90,90CO18013000,0,2018-01-30
5cccf5bee2705c19328205a9,20.120555555556,-98.74,92,Jardín del Maestro,JDN,59,5ccced58e2705c19327f67e5,2018-01-30T00:00:00.000Z,1,Pachuca,Hidalgo,0.523718472222222,CO,92,92CO18013000,0,2018-01-30
5cccf5bee2705c19328205aa,20.077222222222,-98.777972222222,93,Museo del Rehilete,REH,59,5ccced5fe2705c1932803a4b,2018-01-30T00:00:00.000Z,1,Pachuca,Hidalgo,0.240175833333333,CO,93,93CO18013000,0,2018-01-30
5cccf5bee2705c19328205ab,19.840583333333,-98.981333333333,96,Biblioteca,TIZ,60,5ccced67e2705c1932811ab7,2018-01-30T00:00:00.000Z,1,Tizayuca,Hidalgo,0.229254005555556,CO,96,96CO18013000,0,2018-01-30
5cccf5bee2705c19328205ae,20.631268055556,-103.41643083333,103,Las Águilas,AGU,63,5cccead2e2705c193235487e,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,0.50746,CO,103,103CO18013000,0,2018-01-30
5cccf5bee2705c19328205af,20.576823888889,-103.32652861111,104,Las Pintas,PIN,63,5cccead8e2705c193235ec96,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,0.16395,CO,104,104CO18013000,0,2018-01-30
5cccf5bee2705c19328205b1,20.614444444444,-103.34333333333,106,Miravalle,MIR,63,5ccceae2e2705c1932370766,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,0.17411,CO,106,106CO18013000,0,2018-01-30
5cccf5bee2705c19328205b2,20.700538611111,-103.29661666667,107,Oblatos,OBL,63,5ccceae9e2705c193237d435,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,0.2791,CO,107,107CO18013000,0,2018-01-30
5cccf5bee2705c19328205b3,20.529149444444,-103.37717944444,108,Santa Fe,SFE,63,5ccceaeee2705c1932387d5a,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,0.4425,CO,108,108CO18013000,0,2018-01-30
5cccf5bee2705c19328205b4,20.640966666667,-103.31259194444,109,Tlaquepaque,TLA,63,5ccceaf5e2705c19323941f2,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,0.38821,CO,109,109CO18013000,0,2018-01-30
5cccf5bee2705c19328205b5,20.680193055556,-103.39855138889,110,Vallarta,VAL,63,5ccceafbe2705c193239f235,2018-01-30T00:00:00.000Z,1,Guadalajara,Jalisco,0.22384,CO,110,110CO18013000,0,2018-01-30
5cccf5bee2705c19328205bb,19.260305555556,-99.645722222222,123,Ceboruco,CB,65,5ccceb00e2705c19323ab5c8,2018-01-30T00:00:00.000Z,1,Toluca,México,0.366,CO,123,123CO18013000,0,2018-01-30
5cccf5bee2705c19328205bc,19.278083333333,-99.656416666667,124,Toluca Centro,CE,65,5ccceb05e2705c19323b6dab,2018-01-30T00:00:00.000Z,1,Toluca,México,0.436,CO,124,124CO18013000,0,2018-01-30
5cccf5bee2705c19328205bd,19.270194444444,-99.595194444444,125,Metepec,MT,65,5ccceb0de2705c19323c5445,2018-01-30T00:00:00.000Z,1,Toluca,México,0.136,CO,125,125CO18013000,0,2018-01-30
5cccf5bee2705c19328205be,19.283444444444,-99.683488888889,126,Oxtotitlán,OX,65,5ccceb14e2705c19323d4340,2018-01-30T00:00:00.000Z,1,Toluca,México,0.388,CO,126,126CO18013000,0,2018-01-30
5cccf5bee2705c19328205c0,19.280416666667,-99.541666666667,128,San Mateo Atenco,SM,65,5ccceb22e2705c19323eef17,2018-01-30T00:00:00.000Z,1,Toluca,México,0.855,CO,128,128CO18013000,0,2018-01-30
5cccf5bee2705c19328205c1,19.690461111111,-101.20478888889,129,Universidad Michoacana de San Nicolás Hidalgo,ECU,66,5ccceb28e2705c19323fabe6,2018-01-30T00:00:00.000Z,1,Morelia,Michoacán,0.56,CO,129,129CO18013000,0,2018-01-30
5cccf5bee2705c19328205c2,19.691977777778,-101.15547222222,131,Laboratorio de Salud,LAB,66,5ccceb2ae2705c19323fffef,2018-01-30T00:00:00.000Z,1,Morelia,Michoacán,0.2,CO,131,131CO18013000,0,2018-01-30
5cccf5bee2705c19328205c5,18.921817777778,-99.234896666667,134,Cuernavaca 01,PGO,69,5ccceb2fe2705c19324080b4,2018-01-30T00:00:00.000Z,1,Cuernavaca,Morelos,0.5434017,CO,134,134CO18013000,0,2018-01-30
5cccf5bee2705c19328205ca,25.756944444444,-100.36583333333,140,San Bernabé,NO,72,5ccceb49e2705c1932438236,2018-01-30T00:00:00.000Z,1,Monterrey,Nuevo León,0.9,CO,140,140CO18013000,0,2018-01-30
5cccf5bee2705c19328205cb,25.675833333333,-100.33833333333,141,Obispado,CE,72,5ccceb4fe2705c1932442483,2018-01-30T00:00:00.000Z,1,Monterrey,Nuevo León,2.09,CO,141,141CO18013000,0,2018-01-30
5cccf5bee2705c19328205cc,25.745277777778,-100.255,142,San Nicolás,NE,72,5ccceb55e2705c193244d3b5,2018-01-30T00:00:00.000Z,1,Monterrey,Nuevo León,2.65,CO,142,142CO18013000,0,2018-01-30
5cccf5bee2705c19328205ce,25.800555555556,-100.34444444444,144,Escobedo,N,72,5ccceb61e2705c1932461ded,2018-01-30T00:00:00.000Z,1,Monterrey,Nuevo León,2.78,CO,144,144CO18013000,0,2018-01-30
5cccf5bee2705c19328205cf,25.783333333333,-100.58583333333,145,García,NO2,72,5ccceb64e2705c1932467eff,2018-01-30T00:00:00.000Z,1,Monterrey,Nuevo León,0.81,CO,145,145CO18013000,0,2018-01-30
5cccf5bee2705c19328205d0,25.777222222222,-100.18833333333,146,Apodaca,NE2,72,5ccceb68e2705c193246ffb0,2018-01-30T00:00:00.000Z,1,Monterrey,Nuevo León,1.17,CO,146,146CO18013000,0,2018-01-30
5cccf5bee2705c19328205d3,16.699340277778,-96.866455,160,CEDART,CED,73,5ccceb77e2705c1932489905,2018-01-30T00:00:00.000Z,1,Oaxaca,Oaxaca,0,CO,160,160CO18013000,0,2018-01-30
5cccf5bee2705c19328205df,22.174222222222,-100.99308333333,174,Biblioteca,BIB,79,5ccceb97e2705c19324c37e2,2018-01-30T00:00:00.000Z,1,San Luis Potosí Estatal,San Luis Potosí,1.1724,CO,174,174CO18013000,0,2018-01-30
5cccf5bee2705c19328205e9,19.317583333333,-98.237305555556,220,Palacio de Gobierno,PGO,107,5ccceba0e2705c19324d54c5,2018-01-30T00:00:00.000Z,1,Tlaxcala,Tlaxcala,0.114,CO,220,220CO18013000,0,2018-01-30
5cccf5bee2705c19328205eb,19.530094444444,-96.881880555556,235,STPS,STP,115,5cccebabe2705c19324e903a,2018-01-30T00:00:00.000Z,1,Xalapa,Veracruz,1.23,CO,235,235CO18013000,0,2018-01-30
5cccf5bee2705c19328205ed,19.635555555556,-98.912222222222,240,Acolman,ACO,119,5cccebb6e2705c1932501066,2018-01-30T00:00:00.000Z,1,Valle de México,Ciudad de México,0.3,CO,240,240CO18013000,0,2018-01-30
5cccf5bee2705c19328205ef,19.272222222222,-99.207777777778,242,Ajusco Medio,AJM,119,5cccebbbe2705c193250b3ad,2018-01-30T00:00:00.000Z,1,Valle de México,Ciudad de México,0.6,CO,242,242CO18013000,0,2018-01-30
5cccf5bee2705c19328205f0,19.577222222222,-99.254166666667,243,Atizapán,ATI,119,5cccebc2e2705c19325181a3,2018-01-30T00:00:00.000Z,1,Valle de México,Ciudad de México,0.1,CO,243,243CO18013000,0,2018-01-30
5cccf5bee2705c19328205f2,19.326388888889,-99.176111111111,245,Centro de Ciencias de la Atmósfera,CCA,119,5cccebcbe2705c1932528537,2018-01-30T00:00:00.000Z,1,Valle de México,Ciudad de México,0.4,CO,245,245CO18013000,0,2018-01-30
5cccf5bee2705c19328205f7,19.4825,-99.243611111111,250,FES Acatlán,FAC,119,5cccebdde2705c193254922c,2018-01-30T00:00:00.000Z,1,Valle de México,Ciudad de México,0.1,CO,250,250CO18013000,0,2018-01-30
5cccf5bee2705c19328205f8,19.411666666667,-99.152222222222,251,Hospital General de México,HGM,119,5cccebe3e2705c1932552d16,2018-01-30T00:00:00.000Z,1,Valle de México,Ciudad de México,0.4,CO,251,251CO18013000,0,2018-01-30
5cccf5bee2705c19328205fa,19.535,-99.117777777778,253,La Presa,LPR,119,5cccebede2705c19325660c1,2018-01-30T00:00:00.000Z,1,Valle de México,Ciudad de México,0.2,CO,253,253CO18013000,0,2018-01-30
5cccf5bee2705c19328205fb,19.578888888889,-99.039722222222,254,Los Laureles,LLA,119,5cccebf0e2705c193256b3c6,2018-01-30T00:00:00.000Z,1,Valle de México,Ciudad de México,0.7,CO,254,254CO18013000,0,2018-01-30
